construct,method,split,decoupling_axis,layer,n,accuracy,mean_signed_probe_score,signed_probe_score_se,direction_accuracy_reference,direction_mean_signed_projection_reference
sentiment,probe,decoupling,quotation,3,12,0.5,-0.038693368434906006,0.11792015628330335,0.25,-0.1343788020312786
sentiment,probe,decoupling,quotation,4,12,0.4166666666666667,-0.029633313417434692,0.12325380075907755,0.5,-0.16159280637900034
sentiment,probe,decoupling,quotation,5,12,0.4166666666666667,-0.07592048744360606,0.08763090108128702,0.5,-0.20693775018056235
sentiment,probe,decoupling,quotation,6,12,0.4166666666666667,-0.13009105374415716,0.10297867197133989,0.25,-0.8176667292912801
sentiment,probe,decoupling,quotation,7,12,0.5,0.006330075363318126,0.12050567622758349,0.4166666666666667,-0.7291395664215088
sentiment,probe,decoupling,quotation,8,12,0.5,0.05092113713423411,0.12605501838330735,0.5833333333333334,-0.4677519053220749
sentiment,probe,decoupling,quotation,9,12,0.5833333333333334,0.060685865581035614,0.13878203188561145,0.5833333333333334,1.0389695229629676
sentiment,probe,decoupling,quotation,10,12,0.5833333333333334,0.07466446111599605,0.13920430057276884,0.5,2.640088071425756
sentiment,probe,decoupling,quotation,11,12,0.5,0.06467379877964656,0.13176178280384537,0.5,1.589727391799291
sentiment,probe,decoupling,contrast,0,12,0.5,-0.0491470992565155,0.13264980805600815,0.5,-0.23325209816296896
sentiment,probe,decoupling,contrast,1,12,0.5,-0.025511351724465687,0.14466891165910956,0.5,-0.33136210838953656
sentiment,probe,decoupling,contrast,2,12,0.25,-0.15857856969038645,0.10556062561978795,0.4166666666666667,-0.3018782113989194
sentiment,probe,decoupling,contrast,3,12,0.16666666666666666,-0.20966837803522745,0.0942673189877063,0.16666666666666666,-0.5958677691717943
sentiment,probe,decoupling,contrast,4,12,0.3333333333333333,-0.19101598610480627,0.0912043824406646,0.3333333333333333,-1.038564162949721
sentiment,probe,decoupling,contrast,5,12,0.25,-0.1631485496958097,0.10039536613627302,0.3333333333333333,-1.392126888036728
sentiment,probe,decoupling,contrast,6,12,0.25,-0.23419618854920068,0.07419355619690805,0.16666666666666666,-2.1443167130152383
