construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
sentiment,direction,random_direction,decoupling,lexical_reversal,0,12,0.5,0.020749757936430024,0.05576921971132661
sentiment,direction,random_direction,decoupling,lexical_reversal,1,12,0.5,0.009229631648559052,0.05485099301422769
sentiment,direction,random_direction,decoupling,lexical_reversal,2,12,0.5,-0.03193572537923003,0.24192576135516294
sentiment,direction,random_direction,decoupling,lexical_reversal,3,12,0.4166666666666667,-0.05436266049101396,0.22667345328183827
sentiment,direction,random_direction,decoupling,lexical_reversal,4,12,0.5833333333333334,0.10760238553226542,0.5635166126014555
sentiment,direction,random_direction,decoupling,lexical_reversal,5,12,0.4166666666666667,-0.16632317824101184,0.8046963891416542
sentiment,direction,random_direction,decoupling,lexical_reversal,6,12,0.5833333333333334,-0.03170408869924909,0.5215118974105972
sentiment,direction,random_direction,decoupling,lexical_reversal,7,12,0.5833333333333334,0.5169820168031418,0.7482509981238644
sentiment,direction,random_direction,decoupling,lexical_reversal,8,12,0.4166666666666667,-0.1587871884714188,0.6325822483908102
sentiment,direction,random_direction,decoupling,lexical_reversal,9,12,0.6666666666666666,1.6901869529496645,0.7364471598531496
sentiment,direction,random_direction,decoupling,lexical_reversal,10,12,0.5,0.26630869660789513,0.8527479015947572
sentiment,direction,random_direction,decoupling,lexical_reversal,11,12,0.4166666666666667,-0.7289792642882996,0.82340142479392
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,0,12,0.4166666666666667,0.0031544206043084464,0.6150537025874542
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,1,12,0.5833333333333334,0.019238078966736794,0.5847076869884561
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,2,12,0.5,-0.06094341166317463,0.7801900663088851
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,3,12,0.5,-0.14843819042046866,0.7024507330943798
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,4,12,0.4166666666666667,-0.31218528499205905,0.848658230839516
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,5,12,0.5,-0.44182851662238437,0.9009532826183034
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,6,12,0.4166666666666667,-0.5541198775172234,1.1469296070890065
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,7,12,0.4166666666666667,-0.6943471555908521,1.4084832528315483
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,8,12,0.5,-0.44011420011520386,1.7946087746628303
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,9,12,0.6666666666666666,0.49940523505210876,2.5771773296533644
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,10,12,0.5833333333333334,-0.4220725695292155,4.632025426544826
sentiment,direction,shuffled_label_direction,decoupling,lexical_reversal,11,12,0.4166666666666667,-0.9418524901072184,8.018169838353673
sentiment,direction,direction,decoupling,negation,0,12,0.5,-0.14264372984568277,0.6046538260065677
sentiment,direction,direction,decoupling,negation,1,12,0.5,-0.2114882469177246,0.46437195507589724
sentiment,direction,direction,decoupling,negation,2,12,0.4166666666666667,-0.3157960002621015,0.18511408292663348
sentiment,direction,direction,decoupling,negation,3,12,0.25,-0.3787202090024948,0.14162015356929586
sentiment,direction,direction,decoupling,negation,4,12,0.5,-0.18247836579879126,0.42273403661115294
sentiment,direction,direction,decoupling,negation,5,12,0.5,-0.027599652608235676,0.4819505070625012
sentiment,direction,direction,decoupling,negation,6,12,0.5,0.4221084912618001,1.583463486717309
sentiment,direction,direction,decoupling,negation,7,12,0.5,1.1912072499593098,1.2783343691671651
sentiment,direction,direction,decoupling,negation,8,12,0.9166666666666666,3.084579606850942,0.6831107234093243
sentiment,direction,direction,decoupling,negation,9,12,1.0,7.335155208905538,1.0875476720204325
sentiment,direction,direction,decoupling,negation,10,12,1.0,11.010502060254415,1.8097931683630817
sentiment,direction,direction,decoupling,negation,11,12,0.75,12.426254868507385,4.424728116537407
sentiment,direction,random_direction,decoupling,negation,0,12,0.5,0.04374485809928206,0.07638262877521003
sentiment,direction,random_direction,decoupling,negation,1,12,0.5,0.007011728389581269,0.12118213630729278
sentiment,direction,random_direction,decoupling,negation,2,12,0.5,-0.042174607150072874,0.4682293105507518
sentiment,direction,random_direction,decoupling,negation,3,12,0.5,-0.0003627633518851943,0.3585866914298483
sentiment,direction,random_direction,decoupling,negation,4,12,0.5833333333333334,-0.02481466120267543,0.07440604075140697
sentiment,direction,random_direction,decoupling,negation,5,12,0.5,-0.1797369572268788,0.3562293729871106
sentiment,direction,random_direction,decoupling,negation,6,12,0.5,0.23322208566036048,1.3393237402837572
sentiment,direction,random_direction,decoupling,negation,7,12,0.5,-0.0361237476885801,0.7088956149725958
sentiment,direction,random_direction,decoupling,negation,8,12,0.75,0.7653840323074358,0.31229957770351696
sentiment,direction,random_direction,decoupling,negation,9,12,0.75,1.3407213010725105,0.6071225131846385
sentiment,direction,random_direction,decoupling,negation,10,12,0.5,1.1165031115468718,1.142126875035808
sentiment,direction,random_direction,decoupling,negation,11,12,0.5,-0.24627449115160552,1.4184599585283175
sentiment,direction,shuffled_label_direction,decoupling,negation,0,12,0.5,0.042420306553443275,0.1395462668283981
sentiment,direction,shuffled_label_direction,decoupling,negation,1,12,0.5833333333333334,0.01734002058704694,0.12285476091270267
sentiment,direction,shuffled_label_direction,decoupling,negation,2,12,0.5,0.005241617560386658,0.46776298731763316
sentiment,direction,shuffled_label_direction,decoupling,negation,3,12,0.5,0.08146021763483684,0.9669211741246179
sentiment,direction,shuffled_label_direction,decoupling,negation,4,12,0.5,0.13235463698705038,0.752774916647278
sentiment,direction,shuffled_label_direction,decoupling,negation,5,12,0.4166666666666667,-0.00205128143231074,0.44085478627747254
