construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
certainty,direction,random_direction,decoupling,quotation,6,12,0.5,-0.01601197983772329,0.8273336659398735
certainty,direction,random_direction,decoupling,quotation,7,12,0.5,-0.006547973390244525,1.0909724674753463
certainty,direction,random_direction,decoupling,quotation,8,12,0.5833333333333334,-0.13568654857067872,1.3819626657801238
certainty,direction,random_direction,decoupling,quotation,9,12,0.5,0.274712909113213,1.4094857581802622
certainty,direction,random_direction,decoupling,quotation,10,12,0.5,0.651433585001488,1.3482461510263584
certainty,direction,random_direction,decoupling,quotation,11,12,0.4166666666666667,-0.18802871532123652,1.3648885062857892
certainty,direction,shuffled_label_direction,decoupling,quotation,0,12,0.5,0.014472633600234985,2.7752706788606036
certainty,direction,shuffled_label_direction,decoupling,quotation,1,12,0.5,0.07684797048568726,2.9382140323552655
certainty,direction,shuffled_label_direction,decoupling,quotation,2,12,0.5,0.08869119485219319,2.83414419622574
certainty,direction,shuffled_label_direction,decoupling,quotation,3,12,0.5,0.06031706929206848,2.599301241119821
certainty,direction,shuffled_label_direction,decoupling,quotation,4,12,0.5,0.0610353151957194,2.605448460554977
certainty,direction,shuffled_label_direction,decoupling,quotation,5,12,0.5,0.07998769481976827,2.446638395155297
certainty,direction,shuffled_label_direction,decoupling,quotation,6,12,0.5,0.052601526180903115,2.850606199113009
certainty,direction,shuffled_label_direction,decoupling,quotation,7,12,0.5,0.1532451113065084,3.3703610143271856
certainty,direction,shuffled_label_direction,decoupling,quotation,8,12,0.5,0.29255686203638714,4.240099810541163
certainty,direction,shuffled_label_direction,decoupling,quotation,9,12,0.5,-0.019145488739013672,4.530157244898884
certainty,direction,shuffled_label_direction,decoupling,quotation,10,12,0.5,0.13142053286234537,5.791867418344415
certainty,direction,shuffled_label_direction,decoupling,quotation,11,12,0.4166666666666667,0.6421388785044352,8.133301030013833
certainty,direction,direction,decoupling,contrast,0,12,0.5,-0.15660146872202554,0.5844417736051378
certainty,direction,direction,decoupling,contrast,1,12,0.4166666666666667,-0.11856752137343089,0.3934285527990262
certainty,direction,direction,decoupling,contrast,2,12,0.5,-0.09665378928184509,0.2741071397723021
certainty,direction,direction,decoupling,contrast,3,12,0.5,-0.07995143036047618,0.4226057497822144
certainty,direction,direction,decoupling,contrast,4,12,0.4166666666666667,-0.1389270027478536,0.38899060323131185
certainty,direction,direction,decoupling,contrast,5,12,0.4166666666666667,-0.3240402738253276,0.6474873333253106
certainty,direction,direction,decoupling,contrast,6,12,0.4166666666666667,-0.6863553822040558,0.42675541057931154
certainty,direction,direction,decoupling,contrast,7,12,0.5833333333333334,0.5404910544554392,0.6755009270695216
certainty,direction,direction,decoupling,contrast,8,12,0.6666666666666666,2.910202612479528,1.3489503695183391
certainty,direction,direction,decoupling,contrast,9,12,0.9166666666666666,6.7726443608601885,2.106090451656423
certainty,direction,direction,decoupling,contrast,10,12,0.8333333333333334,9.384509980678558,2.6156001200685
certainty,direction,direction,decoupling,contrast,11,12,0.5833333333333334,8.692158430814743,6.5747551006235305
certainty,direction,random_direction,decoupling,contrast,0,12,0.5,0.027627493059250496,0.24080669412093758
certainty,direction,random_direction,decoupling,contrast,1,12,0.5,-0.02658247904481865,0.11819651697230944
certainty,direction,random_direction,decoupling,contrast,2,12,0.5,0.03734745528430892,0.39909392065279814
certainty,direction,random_direction,decoupling,contrast,3,12,0.5,0.00467063083367351,0.4614010477531165
certainty,direction,random_direction,decoupling,contrast,4,12,0.5833333333333334,-0.014235466441362041,0.4920531283672429
certainty,direction,random_direction,decoupling,contrast,5,12,0.4166666666666667,-0.09381846816309443,0.569487479682151
certainty,direction,random_direction,decoupling,contrast,6,12,0.5,-0.0847316809893548,0.8186447520499568
certainty,direction,random_direction,decoupling,contrast,7,12,0.5,-0.11324460379633498,0.9544236005100125
certainty,direction,random_direction,decoupling,contrast,8,12,0.5,-0.555396397704767,0.988056223585969
certainty,direction,random_direction,decoupling,contrast,9,12,0.5,1.3925643264471297,1.416948200278096
certainty,direction,random_direction,decoupling,contrast,10,12,0.5,1.0364376537979472,1.6513513347658255
certainty,direction,random_direction,decoupling,contrast,11,12,0.5,-0.7712208498205517,1.0145172540375826
certainty,direction,shuffled_label_direction,decoupling,contrast,0,12,0.5,-0.008614227175712585,3.252598974265524
certainty,direction,shuffled_label_direction,decoupling,contrast,1,12,0.5,-0.014318908254305521,3.5161506746709685
certainty,direction,shuffled_label_direction,decoupling,contrast,2,12,0.5,0.013850569725036621,3.420342673875124
certainty,direction,shuffled_label_direction,decoupling,contrast,3,12,0.5,0.03604018688201904,3.243154450334581
certainty,direction,shuffled_label_direction,decoupling,contrast,4,12,0.5,0.032187859217325844,3.179142872937009
certainty,direction,shuffled_label_direction,decoupling,contrast,5,12,0.5,-0.004068722327550252,3.2428298315459
certainty,direction,shuffled_label_direction,decoupling,contrast,6,12,0.5,0.0061833858489990234,3.503961503795887
certainty,direction,shuffled_label_direction,decoupling,contrast,7,12,0.5,0.1399639050165812,3.355330310338505
certainty,direction,shuffled_label_direction,decoupling,contrast,8,12,0.5,0.014736175537109375,4.064279845746014
certainty,direction,shuffled_label_direction,decoupling,contrast,9,12,0.5,-0.2028931180636088,4.705126342719023
certainty,direction,shuffled_label_direction,decoupling,contrast,10,12,0.5,0.6054912805557251,6.049951960476115
certainty,direction,shuffled_label_direction,decoupling,contrast,11,12,0.5,3.66803178191185,10.90279900306001
certainty,direction,direction,decoupling,format_shift,0,12,0.5,0.05694049596786499,0.6561578577110531
certainty,direction,direction,decoupling,format_shift,1,12,0.5833333333333334,0.1676078929255406,0.47097032959045265
certainty,direction,direction,decoupling,format_shift,2,12,0.5,0.21411423881848654,0.4555765160624195
certainty,direction,direction,decoupling,format_shift,3,12,0.6666666666666666,0.3791782682140668,0.43508368310044926
certainty,direction,direction,decoupling,format_shift,4,12,0.5833333333333334,0.4623372753461202,0.499025986021425
certainty,direction,direction,decoupling,format_shift,5,12,0.5833333333333334,0.6894252101580302,0.7935863608725586
certainty,direction,direction,decoupling,format_shift,6,12,0.8333333333333334,1.701639970143636,0.4937067406226182
certainty,direction,direction,decoupling,format_shift,7,12,0.75,2.328569956123829,0.8196476958832106
certainty,direction,direction,decoupling,format_shift,8,12,0.8333333333333334,3.3831550727287927,1.190986348102148
certainty,direction,direction,decoupling,format_shift,9,12,0.75,4.480916169782479,1.899823457760679
