construct,method,baseline_type,split,decoupling_axis,layer,alpha,n,mean_raw_logit_shift,mean_abs_raw_logit_shift,mean_signed_logit_shift,mean_steered_signed_logit_diff,mean_kl_divergence
sentiment,direction,random_direction,heldout,ordinary,2,-1.0,24,-0.000848074754079183,0.008036474386850992,0.0005308985710144043,0.6121518413225809,0.00013365565610001795
sentiment,direction,random_direction,heldout,ordinary,2,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,2,1.0,24,0.0005614757537841797,0.00834798812866211,-0.0008569558461507162,0.6107639869054159,0.00013892898429427683
sentiment,direction,random_direction,heldout,ordinary,2,3.0,24,0.0008312066396077474,0.026521603266398113,-0.0035508076349894204,0.6080701351165771,0.0012960590962999656
sentiment,direction,random_direction,heldout,ordinary,3,-3.0,24,-0.027735650539398193,0.035995264848073326,-0.01244590679804484,0.5991750359535217,0.0010804523032372042
sentiment,direction,random_direction,heldout,ordinary,3,-1.0,24,-0.009377042452494303,0.012047966321309408,-0.004111965497334798,0.6075089772542318,0.0001189812919619726
sentiment,direction,random_direction,heldout,ordinary,3,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,3,1.0,24,0.00952972968419393,0.012176096439361572,0.00408711036046346,0.61570805311203,0.00011799541122551697
sentiment,direction,random_direction,heldout,ordinary,3,3.0,24,0.029099345207214355,0.03706014156341553,0.012234250704447428,0.623855193456014,0.0010533270372737509
sentiment,direction,random_direction,heldout,ordinary,4,-3.0,24,0.044070919354756675,0.04522204399108887,0.007940252621968588,0.6195611953735352,0.0006865834802738391
sentiment,direction,random_direction,heldout,ordinary,4,-1.0,24,0.014097372690836588,0.01452330748240153,0.0027625163396199546,0.6143834590911865,7.519419750678935e-05
sentiment,direction,random_direction,heldout,ordinary,4,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,4,1.0,24,-0.013532042503356934,0.014045357704162598,-0.002861579259236654,0.60875936349233,7.416946694623523e-05
sentiment,direction,random_direction,heldout,ordinary,4,3.0,24,-0.038996358712514244,0.04079475005467733,-0.008831600348154703,0.6027893424034119,0.0006585392208459476
sentiment,direction,random_direction,heldout,ordinary,5,-3.0,24,0.006476879119873047,0.029854297637939453,-0.0036265055338541665,0.6079944372177124,0.0006888686499830025
sentiment,direction,random_direction,heldout,ordinary,5,-1.0,24,0.002254446347554525,0.00996104876200358,-0.0011603434880574544,0.6104605992635092,7.579609655294917e-05
sentiment,direction,random_direction,heldout,ordinary,5,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,5,1.0,24,-0.0023390849431355796,0.009936690330505371,0.0010997851689656575,0.6127207279205322,7.49268542676873e-05
sentiment,direction,random_direction,heldout,ordinary,5,3.0,24,-0.007242898146311442,0.0296364426612854,0.0030898849169413247,0.6147108276685079,0.000665177004217791
sentiment,direction,random_direction,heldout,ordinary,6,-3.0,24,-0.014638801415761312,0.027873655160268147,-0.005365550518035889,0.6062553922335306,0.0005891924362610249
sentiment,direction,random_direction,heldout,ordinary,6,-1.0,24,-0.004604041576385498,0.009138405323028564,-0.0017298658688863118,0.6098910768826803,6.546824973459782e-05
sentiment,direction,random_direction,heldout,ordinary,6,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,random_direction,heldout,ordinary,6,1.0,24,0.00432974100112915,0.008978267510732016,0.001667320728302002,0.6132882634798685,6.537141386312821e-05
sentiment,direction,random_direction,heldout,ordinary,6,3.0,24,0.012166837851206461,0.026431818803151447,0.0048030416170756025,0.6164239843686422,0.0005882239323303414
